iter	Passed	Remaining
0	12	12206
1	23	11956
2	35	11779
3	46	11489
4	58	11546
5	69	11546
6	81	11491
7	92	11413
8	103	11373
9	129	12835
10	141	12758
11	153	12658
12	164	12486
13	175	12369
14	187	12326
15	198	12235
16	210	12166
17	222	12128
18	233	12049
19	244	11990
20	255	11919
21	267	11884
22	278	11843
23	290	11797
24	301	11756
25	312	11706
26	323	11646
27	334	11599
28	344	11548
29	356	11533
30	367	11488
31	379	11466
32	390	11442
33	401	11404
34	412	11364
35	423	11335
36	434	11303
37	445	11269
38	455	11234
39	466	11198
40	477	11168
41	488	11148
42	500	11131
43	511	11107
44	521	11076
45	527	10946
46	538	10925
47	549	10906
48	560	10887
49	571	10861
50	582	10845
51	594	10834
52	605	10823
53	616	10802
54	627	10786
55	639	10772
56	649	10744
57	660	10731
58	671	10714
59	683	10711
60	695	10709
61	707	10700
62	718	10681
63	729	10673
64	740	10656
65	752	10645
66	763	10637
67	774	10620
68	786	10608
69	797	10595
70	808	10573
71	818	10555
72	830	10547
73	841	10532
74	851	10507
75	863	10497
76	874	10481
77	886	10477
78	897	10459
79	908	10450
80	920	10447
81	933	10447
82	943	10424
83	954	10413
84	966	10401
85	977	10387
86	988	10375
87	1000	10367
88	1011	10350
89	1022	10336
90	1032	10318
91	1043	10300
92	1054	10281
93	1065	10266
94	1076	10252
95	1087	10243
96	1098	10226
97	1109	10208
98	1120	10198
99	1146	10320
100	1157	10301
101	1168	10286
102	1181	10286
103	1193	10282
104	1205	10271
105	1216	10260
106	1228	10252
107	1239	10238
108	1251	10229
109	1262	10216
110	1273	10198
111	1284	10184
112	1295	10171
113	1307	10158
114	1317	10142
115	1329	10130
116	1339	10108
117	1350	10093
118	1361	10076
119	1371	10059
120	1383	10051
121	1395	10042
122	1406	10026
123	1418	10019
124	1430	10012
125	1441	9996
126	1452	9985
127	1463	9970
128	1474	9957
129	1485	9941
130	1497	9931
131	1508	9920
132	1519	9903
133	1530	9889
134	1541	9873
135	1552	9861
136	1563	9849
137	1574	9833
138	1584	9817
139	1595	9803
140	1607	9790
141	1618	9778
142	1629	9763
143	1640	9753
144	1651	9738
145	1662	9727
146	1674	9714
147	1685	9703
148	1697	9693
149	1708	9681
150	1720	9670
151	1730	9656
152	1742	9645
153	1753	9631
154	1763	9614
155	1774	9599
156	1785	9588
157	1796	9575
158	1807	9561
159	1818	9549
160	1829	9535
161	1840	9519
162	1852	9510
163	1864	9502
164	1875	9493
165	1887	9484
166	1899	9475
167	1910	9462
168	1922	9454
169	1933	9442
170	1945	9434
171	1957	9422
172	1968	9408
173	1979	9396
174	1990	9384
175	2001	9369
176	2012	9357
177	2023	9343
178	2033	9328
179	2045	9317
180	2055	9302
181	2066	9287
182	2077	9273
183	2087	9259
184	2099	9248
185	2110	9237
186	2123	9230
187	2148	9281
188	2159	9266
189	2170	9252
190	2181	9240
191	2193	9229
192	2204	9218
193	2215	9205
194	2227	9196
195	2239	9185
196	2250	9172
197	2261	9161
198	2272	9148
199	2283	9135
200	2294	9122
201	2305	9109
202	2316	9096
203	2327	9081
204	2339	9073
205	2350	9058
206	2361	9045
207	2373	9036
208	2383	9021
209	2395	9012
210	2407	9003
211	2419	8994
212	2430	8980
213	2441	8966
214	2452	8954
215	2462	8938
216	2473	8926
217	2484	8912
218	2495	8900
219	2506	8886
