iter	Recall	Logloss
0	0.7612825844	0.6088352585
1	0.7810011195	0.5589840513
2	0.7972493203	0.5277245406
3	0.7851591236	0.5090710834
4	0.7904365904	0.4951622235
5	0.7904845674	0.484692641
6	0.793379178	0.4771359516
7	0.790564529	0.47234296
8	0.7917639533	0.4684686664
9	0.786710379	0.4645303329
10	0.7853830162	0.4599292005
11	0.7869662562	0.4558751888
12	0.7805373421	0.4531367497
13	0.7882456421	0.4482909256
14	0.785574924	0.4451644011
15	0.7892691508	0.4422644369
16	0.7907884216	0.4388574202
17	0.7925795618	0.4370319826
18	0.7959859268	0.4352134023
19	0.7913321606	0.4330285468
20	0.7942587558	0.4301446623
21	0.794418679	0.4277231932
22	0.7969134815	0.4251351217
23	0.7975851591	0.4234789551
24	0.7997601151	0.4200511394
25	0.7993922917	0.4190227109
26	0.8014393091	0.4167843976
27	0.8038701423	0.4147955543
28	0.8055973133	0.4127690136
29	0.8051015513	0.4103347726
30	0.8088597473	0.408979107
31	0.8086518471	0.4063807409
32	0.8086358548	0.404666516
33	0.8117063809	0.4032192987
34	0.813737406	0.401186858
35	0.8129697745	0.3992983516
36	0.8177834639	0.3964659947
37	0.8204221973	0.3948572439
38	0.8201663202	0.3927701227
39	0.8212537982	0.3906098271
40	0.8209819287	0.3897834589
41	0.8209819287	0.3895792781
42	0.822629138	0.3887562721
43	0.8225651687	0.387543359
44	0.8242763474	0.3857079166
45	0.8266272189	0.3843169908
46	0.8267711498	0.3832997214
47	0.8259235567	0.3818572967
48	0.827075004	0.3803405526
49	0.8279705741	0.3796521901
50	0.8280345434	0.3787430646
51	0.8295538142	0.3774056605
52	0.8299056453	0.3761738719
53	0.8290740445	0.3750250716
54	0.8300495762	0.3740256383
55	0.8330721254	0.3726147626
56	0.8343195266	0.3713856896
57	0.8343035343	0.3702362444
58	0.8343834959	0.3691347256
59	0.8390692468	0.3666235831
60	0.8399328322	0.3647522612
61	0.8422517192	0.3629734788
62	0.8437549976	0.3616894349
63	0.8463777387	0.3593054636
64	0.8456260995	0.3571448808
65	0.8465216696	0.3566645476
66	0.8476731169	0.355676401
67	0.8480889173	0.3546788939
68	0.8478170478	0.3537488478
69	0.8489844874	0.3520947818
70	0.8501519271	0.3504224984
71	0.8513993283	0.3489447818
72	0.8525347833	0.3476621951
73	0.8551095474	0.3455055927
74	0.8551575244	0.3442836028
75	0.8564529026	0.3436188757
76	0.8564848873	0.342525273
77	0.8551735167	0.3416697507
78	0.8573964497	0.3398538974
79	0.8577802655	0.3393001095
80	0.8597473213	0.3382931542
81	0.8606908684	0.3376274897
82	0.8607388454	0.3364699562
83	0.8616823925	0.3360101622
84	0.8627538781	0.3346104477
85	0.8631696786	0.3334943097
86	0.8632976171	0.3325645217
87	0.8648488725	0.3312616361
88	0.8655845194	0.3300017415
89	0.8654565808	0.3287906894
90	0.8662721893	0.3273858038
91	0.869118823	0.325601773
92	0.8705421398	0.3240089638
93	0.8731808732	0.3224289353
94	0.8726371342	0.3215963125
95	0.8727810651	0.3211489402
96	0.8734367504	0.3205448756
97	0.8735646889	0.3197910988
98	0.8730209499	0.3191356026
99	0.8737086199	0.3181328265
100	0.8748600672	0.3176141814
101	0.8751319367	0.3166549856
102	0.8753878138	0.3157337895
103	0.8753558292	0.315353192
104	0.8766032304	0.3143028154
105	0.877818647	0.3131667835
106	0.8783943707	0.3121242082
107	0.8797057412	0.3114985908
108	0.8819446666	0.3103312028
109	0.8824084439	0.3089208397
110	0.8822805054	0.308286194
111	0.8833040141	0.3069232499
112	0.8857668319	0.3057593652
113	0.8864704942	0.304693189
114	0.8865184711	0.3041695746
115	0.8870622101	0.3033020957
116	0.8869662562	0.302795666
117	0.8869662562	0.3022482689
118	0.8891731969	0.3010728063
119	0.8892211738	0.2996426153
120	0.8907084599	0.2980632905
121	0.8910762834	0.2975400346
122	0.8920198305	0.2957823345
123	0.892835439	0.2948654765
124	0.893427155	0.2939299109
125	0.8932512394	0.2936339197
126	0.893379178	0.2932909286
127	0.8928194467	0.2929340128
128	0.8932512394	0.2925352687
129	0.8926595234	0.2922006984
130	0.8940988326	0.291641582
131	0.8947705102	0.2908504374
132	0.8951863106	0.2902977072
133	0.8953302415	0.2898425766
134	0.8959379498	0.2888143344
135	0.8956181033	0.2878322708
136	0.8958260035	0.2868439844
137	0.8972972973	0.2859127948
138	0.8984007676	0.2846431823
139	0.899952023	0.2837629104
140	0.9026547257	0.282545511
141	0.9031504878	0.2816058335
142	0.903262434	0.2809747937
143	0.9041260195	0.2797576881
144	0.9035502959	0.2792551861
145	0.903902127	0.2779175101
146	0.9052454822	0.2769959642
147	0.9062050216	0.2759522682
148	0.9062050216	0.2751009724
149	0.9057252519	0.2744755697
150	0.904989605	0.2735615387
151	0.9059651367	0.27293547
152	0.9075803614	0.2718285224
153	0.9084759316	0.2710378547
154	0.909339517	0.2696488425
155	0.9096913482	0.2688535473
156	0.9101071486	0.2679122943
157	0.9105389413	0.2669877713
158	0.9100431793	0.2666450116
159	0.9111466496	0.2655618992
160	0.9108587878	0.2646194474
161	0.9111466496	0.2639485466
162	0.9110027187	0.2629586715
163	0.9122341276	0.2616464475
164	0.9150167919	0.2598954828
165	0.9146809531	0.2590161828
166	0.9156245002	0.2576977125
167	0.9154805693	0.2570721267
168	0.9156085079	0.2565054879
169	0.9160403007	0.255793705
170	0.9165680473	0.2549617848
171	0.9165840397	0.2546940029
172	0.9173516712	0.2540841354
173	0.9167279706	0.2538060528
174	0.9167759475	0.2523480472
175	0.9165680473	0.2513186546
176	0.9173996482	0.2506382455
177	0.9181992644	0.2500789366
178	0.9182952183	0.2497738819
179	0.918279226	0.249238785
180	0.9183591876	0.2485784044
181	0.9198944507	0.2476349068
182	0.9195746042	0.2468093782
183	0.9193826963	0.2464373723
184	0.9189668959	0.2462456061
185	0.9183591876	0.2460268009
186	0.9183272029	0.2454158151
187	0.9188709419	0.2449356338
188	0.9190788422	0.2446180477
189	0.9194946426	0.2438037148
190	0.9202782664	0.2429096596
191	0.9212218135	0.2420500228
192	0.9223252839	0.241479249
193	0.9229649768	0.2409362018
194	0.9237006237	0.2401694764
195	0.923764593	0.2396799699
196	0.9238765393	0.2393132732
197	0.924260355	0.2388392301
198	0.9248200864	0.2384811208
199	0.9263233648	0.2376767608
200	0.9260035183	0.2369132388
201	0.9268830961	0.2359235587
202	0.9273468735	0.234675634
203	0.9271709579	0.2343189856
204	0.9272988965	0.2333894787
205	0.9278426355	0.2322999972
206	0.9284983208	0.2320436764
207	0.9303534304	0.2311947951
208	0.930385415	0.2306607031
209	0.9308651847	0.2301058548
210	0.9306572845	0.229416403
211	0.931424916	0.2289738217
212	0.9321765553	0.2281048613
213	0.932560371	0.2276701853
214	0.9327682712	0.2274711539
215	0.9326723173	0.2272861096
216	0.9329921638	0.2268240019
217	0.9329761714	0.2264663044
218	0.9329441868	0.2262302503
219	0.9335838797	0.2252441253
220	0.9337757876	0.2245106816
221	0.9338877339	0.2243305723
222	0.9348152887	0.2233912485
223	0.9343994882	0.2221593734
224	0.9343834959	0.2217703536
225	0.9351511275	0.220862006
226	0.9354709739	0.2198924436
227	0.9370702063	0.2191360529
228	0.9372301295	0.2184040519
229	0.9377098992	0.217953938
230	0.9372940988	0.2174106917
231	0.9373260835	0.2170445283
232	0.9379977611	0.216265001
233	0.9375819607	0.215639877
234	0.9377898609	0.2152772349
235	0.9383335999	0.2147863934
236	0.9391652007	0.2138625889
237	0.9393411163	0.213296832
238	0.9397889013	0.2127762563
239	0.9395969934	0.2124093727
240	0.940268671	0.211586654
241	0.941356149	0.2108323747
242	0.941356149	0.2104203621
243	0.9412761874	0.2100484772
244	0.9412122181	0.209385793
245	0.9409403486	0.2090288708
246	0.9409403486	0.2088346056
247	0.9411482488	0.2085055487
248	0.9412282105	0.207669178
249	0.9415640493	0.2069955347
250	0.9418838957	0.2066335882
