iter	Passed	Remaining
0	12	12941
1	24	12261
2	34	11561
3	45	11303
4	55	11027
5	65	10874
6	76	10902
7	87	10810
8	97	10701
9	107	10653
10	117	10593
11	128	10561
12	137	10476
13	147	10422
14	158	10422
15	168	10372
16	178	10344
17	188	10305
18	200	10344
19	210	10320
20	221	10309
21	230	10256
22	240	10218
23	250	10177
24	259	10139
25	270	10135
26	280	10108
27	290	10084
28	300	10054
29	310	10049
30	320	10017
31	330	10002
32	340	9983
33	350	9970
34	361	9975
35	373	9990
36	383	9988
37	393	9967
38	404	9962
39	414	9951
40	424	9922
41	434	9909
42	444	9899
43	455	9891
44	464	9859
45	474	9845
46	484	9833
47	495	9825
48	505	9817
49	516	9810
50	526	9803
51	536	9781
52	546	9768
53	556	9754
54	566	9738
55	577	9727
56	587	9713
57	597	9706
58	607	9685
59	617	9672
60	627	9665
61	637	9647
62	647	9634
63	657	9614
64	667	9595
65	678	9595
66	688	9582
67	699	9582
68	709	9571
69	719	9556
70	728	9537
71	738	9524
72	748	9509
73	758	9494
74	768	9483
75	779	9476
76	789	9465
77	800	9457
78	810	9450
79	820	9435
80	830	9426
81	841	9418
82	852	9413
83	861	9394
84	872	9387
85	882	9382
86	892	9369
87	903	9360
88	913	9350
89	923	9339
90	933	9322
91	943	9308
92	952	9288
93	962	9279
94	973	9273
95	983	9260
96	995	9263
97	1004	9249
98	1015	9243
99	1026	9235
100	1036	9225
101	1046	9211
102	1056	9197
103	1066	9185
104	1076	9175
105	1086	9164
106	1096	9153
107	1106	9140
108	1116	9125
109	1126	9114
110	1136	9104
111	1147	9095
112	1157	9086
113	1168	9077
114	1178	9066
115	1188	9056
116	1199	9055
117	1209	9042
118	1219	9031
119	1230	9022
120	1240	9014
121	1251	9005
122	1261	8992
123	1271	8982
124	1281	8972
125	1291	8961
126	1301	8949
127	1311	8937
128	1322	8928
129	1332	8917
130	1342	8903
131	1352	8891
132	1365	8899
133	1375	8888
134	1386	8883
135	1397	8879
136	1407	8867
137	1418	8861
138	1429	8854
139	1438	8838
140	1448	8824
141	1458	8813
142	1469	8805
143	1479	8793
144	1490	8786
145	1500	8775
146	1510	8766
147	1520	8753
148	1530	8743
149	1541	8732
150	1550	8720
151	1561	8711
152	1571	8701
153	1582	8694
154	1593	8686
155	1603	8674
156	1613	8663
157	1623	8652
158	1633	8640
159	1643	8630
160	1654	8621
161	1664	8609
162	1674	8597
163	1684	8588
164	1695	8577
165	1705	8569
166	1715	8554
167	1724	8541
168	1734	8528
169	1744	8517
170	1755	8509
171	1764	8496
172	1774	8484
173	1785	8475
174	1795	8462
175	1805	8452
176	1815	8441
177	1825	8431
178	1835	8418
179	1845	8405
180	1854	8393
181	1865	8384
182	1875	8374
183	1886	8366
184	1896	8354
185	1906	8343
186	1917	8334
187	1926	8321
188	1937	8312
189	1946	8300
190	1956	8288
191	1966	8276
